MATR_ALUNO;QUADRIMESTRE
11003116;QS 2022.1
11006815;QS 2022.1
11008916;QS 2022.1
11010112;QS 2022.1
11011414;QS 2022.1
11012211;QS 2022.1
11013112;QS 2022.1
11013714;QS 2022.1
11014108;QS 2022.1
11014513;QS 2022.1
11014515;QS 2022.1
11014615;QS 2022.1
11016914;QS 2022.1
11017015;QS 2022.1
11017615;QS 2022.1
11019014;QS 2022.1
11019416;QS 2022.1
11019615;QS 2022.1
11019616;QS 2022.1
11019813;QS 2022.1
11020413;QS 2022.1
11021210;QS 2022.1
11021211;QS 2022.1
11021515;QS 2022.1
11021816;QS 2022.1
11022015;QS 2022.1
11022115;QS 2022.1
11022615;QS 2022.1
11022816;QS 2022.1
11026016;QS 2022.1
11027016;QS 2022.1
11027416;QS 2022.1
11027713;QS 2022.1
11028013;QS 2022.1
11028216;QS 2022.1
11028813;QS 2022.1
11029216;QS 2022.1
11031315;QS 2022.1
11031916;QS 2022.1
11032111;QS 2022.1
11032516;QS 2022.1
11033011;QS 2022.1
11033615;QS 2022.1
11033811;QS 2022.1
11034115;QS 2022.1
11034912;QS 2022.1
11035515;QS 2022.1
11036014;QS 2022.1
11036116;QS 2022.1
11036715;QS 2022.1
11036814;QS 2022.1
11038915;QS 2022.1
11038916;QS 2022.1
11039714;QS 2022.1
11041112;QS 2022.1
11042807;QS 2022.1
11042816;QS 2022.1
11043516;QS 2022.1
11044212;QS 2022.1
11044711;QS 2022.1
11044712;QS 2022.1
11044910;QS 2022.1
11045512;QS 2022.1
11046415;QS 2022.1
11046514;QS 2022.1
11048416;QS 2022.1
11048816;QS 2022.1
11049412;QS 2022.1
11051415;QS 2022.1
11053916;QS 2022.1
11054014;QS 2022.1
11055514;QS 2022.1
11056215;QS 2022.1
11057415;QS 2022.1
11057714;QS 2022.1
11058015;QS 2022.1
11060011;QS 2022.1
11060513;QS 2022.1
11060814;QS 2022.1
11061315;QS 2022.1
11062615;QS 2022.1
11063114;QS 2022.1
11064215;QS 2022.1
11065215;QS 2022.1
11068015;QS 2022.1
11068214;QS 2022.1
11068515;QS 2022.1
11069911;QS 2022.1
11072614;QS 2022.1
11073016;QS 2022.1
11073110;QS 2022.1
11073612;QS 2022.1
11074012;QS 2022.1
11074215;QS 2022.1
11074415;QS 2022.1
11074514;QS 2022.1
11075013;QS 2022.1
11075313;QS 2022.1
11075514;QS 2022.1
11076115;QS 2022.1
11076313;QS 2022.1
11076416;QS 2022.1
11076809;QS 2022.1
11077913;QS 2022.1
11078010;QS 2022.1
11078715;QS 2022.1
11079115;QS 2022.1
11079215;QS 2022.1
11081116;QS 2022.1
11081616;QS 2022.1
11081916;QS 2022.1
11083316;QS 2022.1
11084116;QS 2022.1
11085316;QS 2022.1
11085610;QS 2022.1
11086215;QS 2022.1
11086615;QS 2022.1
11087116;QS 2022.1
11087415;QS 2022.1
11088113;QS 2022.1
11088814;QS 2022.1
11089614;QS 2022.1
11090012;QS 2022.1
11090715;QS 2022.1
11090915;QS 2022.1
11093514;QS 2022.1
11093716;QS 2022.1
11093811;QS 2022.1
11093914;QS 2022.1
11095412;QS 2022.1
11097516;QS 2022.1
11097716;QS 2022.1
11100612;QS 2022.1
11101015;QS 2022.1
11101916;QS 2022.1
11102116;QS 2022.1
11103916;QS 2022.1
11104716;QS 2022.1
11105715;QS 2022.1
11106114;QS 2022.1
11106416;QS 2022.1
11106512;QS 2022.1
11107215;QS 2022.1
11107312;QS 2022.1
11107314;QS 2022.1
11107316;QS 2022.1
11107714;QS 2022.1
11107916;QS 2022.1
11108414;QS 2022.1
11108511;QS 2022.1
11108715;QS 2022.1
11109313;QS 2022.1
11109710;QS 2022.1
11110013;QS 2022.1
11110414;QS 2022.1
11112113;QS 2022.1
11112815;QS 2022.1
11113716;QS 2022.1
11114210;QS 2022.1
11114915;QS 2022.1
11115316;QS 2022.1
11116514;QS 2022.1
11117215;QS 2022.1
11117415;QS 2022.1
11118415;QS 2022.1
11118416;QS 2022.1
11119915;QS 2022.1
11121714;QS 2022.1
11122515;QS 2022.1
11126110;QS 2022.1
11132509;QS 2022.1
21000117;QS 2022.1
21000415;QS 2022.1
21006215;QS 2022.1
21006815;QS 2022.1
21006916;QS 2022.1
21008216;QS 2022.1
21009516;QS 2022.1
21009710;QS 2022.1
21009713;QS 2022.1
21010716;QS 2022.1
21012716;QS 2022.1
21015516;QS 2022.1
21015913;QS 2022.1
21016614;QS 2022.1
21016712;QS 2022.1
21017316;QS 2022.1
21020311;QS 2022.1
21021713;QS 2022.1
